,chromosome,source,feature_type,start,end,score,strand,phase,attributes
1833564,NC_000007.14,BestRefSeq,gene,93890894,93893588,.,+,.,"ID=gene-TFPI2-DT;Dbxref=GeneID:105375401,HGNC:HGNC:40581;Name=TFPI2-DT;description=TFPI2 divergent transcript;gbkey=Gene;gene=TFPI2-DT;gene_biotype=lncRNA"
1833568,NC_000007.14,BestRefSeq,gene,93906567,93911265,.,+,.,"ID=gene-GNGT1;Dbxref=GeneID:2792,HGNC:HGNC:4411,MIM:189970;Name=GNGT1;description=G protein subunit gamma transducin 1;gbkey=Gene;gene=GNGT1;gene_biotype=protein_coding;gene_synonym=GNG1,HG3G1"
1833581,NC_000007.14,Gnomon,gene,93913942,93937514,.,-,.,ID=gene-LOC105375402;Dbxref=GeneID:105375402;Name=LOC105375402;description=uncharacterized LOC105375402;gbkey=Gene;gene=LOC105375402;gene_biotype=lncRNA
1833590,NC_000007.14,BestRefSeq,gene,93921735,93928610,.,+,.,"ID=gene-GNG11;Dbxref=GeneID:2791,HGNC:HGNC:4403,MIM:604390;Name=GNG11;description=G protein subunit gamma 11;gbkey=Gene;gene=GNG11;gene_biotype=protein_coding;gene_synonym=GNGT11,HG3H1"
1833596,NC_000007.14,BestRefSeq,gene,93962762,94004355,.,-,.,"ID=gene-BET1;Dbxref=GeneID:10282,HGNC:HGNC:14562,MIM:605456;Name=BET1;description=Bet1 golgi vesicular membrane trafficking protein;gbkey=Gene;gene=BET1;gene_biotype=protein_coding;gene_synonym=HBET1,MDRP"
1833631,NC_000007.14,BestRefSeq,gene,93968380,93993141,.,+,.,"ID=gene-BET1-AS1;Dbxref=GeneID:107986820,HGNC:HGNC:40690;Name=BET1-AS1;description=BET1 antisense RNA 1;gbkey=Gene;gene=BET1-AS1;gene_biotype=lncRNA"
1833644,NC_000007.14,BestRefSeq,gene,94022806,94067754,.,+,.,ID=gene-LOC130890646;Dbxref=GeneID:130890646;Name=LOC130890646;description=uncharacterized LOC130890646;gbkey=Gene;gene=LOC130890646;gene_biotype=lncRNA
1833652,NC_000007.14,Gnomon,gene,94088238,94089801,.,-,.,ID=gene-LOC124901812;Dbxref=GeneID:124901812;Name=LOC124901812;description=uncharacterized LOC124901812;gbkey=Gene;gene=LOC124901812;gene_biotype=lncRNA
1833660,NC_000007.14,Gnomon,gene,94276527,94360699,.,-,.,ID=gene-LOC112267858;Dbxref=GeneID:112267858;Name=LOC112267858;description=uncharacterized LOC112267858;gbkey=Gene;gene=LOC112267858;gene_biotype=lncRNA
1833668,NC_000007.14,Gnomon,gene,94311135,94347063,.,+,.,ID=gene-LOC107986821;Dbxref=GeneID:107986821;Name=LOC107986821;description=uncharacterized LOC107986821;gbkey=Gene;gene=LOC107986821;gene_biotype=lncRNA
1833680,NC_000007.14,BestRefSeq,gene,94367212,94392192,.,-,.,"ID=gene-COL1A2-AS1;Dbxref=GeneID:101927525,HGNC:HGNC:53133;Name=COL1A2-AS1;description=COL1A2 antisense RNA 1;gbkey=Gene;gene=COL1A2-AS1;gene_biotype=lncRNA;gene_synonym=lncRNA8975-1,TCONS_00013888"
1833688,NC_000007.14,BestRefSeq,gene,94394895,94431227,.,+,.,"ID=gene-COL1A2;Dbxref=GeneID:1278,HGNC:HGNC:2198,MIM:120160;Name=COL1A2;description=collagen type I alpha 2 chain;gbkey=Gene;gene=COL1A2;gene_biotype=protein_coding;gene_synonym=EDSARTH2,EDSCV,OI4"
1833800,NC_000007.14,BestRefSeq%2CGnomon,gene,94509809,94634172,.,+,.,"ID=gene-CASD1;Dbxref=GeneID:64921,HGNC:HGNC:16014,MIM:611686;Name=CASD1;description=CAS1 domain containing 1;gbkey=Gene;gene=CASD1;gene_biotype=protein_coding;gene_synonym=C7orf12,Cas1,NBLA04196,SOAT"
1834059,NC_000007.14,Gnomon,gene,94523644,94558495,.,-,.,ID=gene-LOC105375404;Dbxref=GeneID:105375404;Name=LOC105375404;description=uncharacterized LOC105375404;gbkey=Gene;gene=LOC105375404;gene_biotype=lncRNA
1834071,NC_000007.14,BestRefSeq,gene,94584980,94656133,.,-,.,"ID=gene-SGCE;Dbxref=GeneID:8910,HGNC:HGNC:10808,MIM:604149;Name=SGCE;description=sarcoglycan epsilon;gbkey=Gene;gene=SGCE;gene_biotype=protein_coding;gene_synonym=DYT11,epsilon-SG,ESG"
1834352,NC_000007.14,BestRefSeq,gene,94656325,94669695,.,+,.,"ID=gene-PEG10;Dbxref=GeneID:23089,HGNC:HGNC:14005,MIM:609810;Name=PEG10;description=paternally expressed 10;gbkey=Gene;gene=PEG10;gene_biotype=protein_coding;gene_synonym=EDR,HB-1,Mar2,Mart2,MEF3L,RGAG3,RTL2,SIRH1"
1834405,NC_000007.14,BestRefSeq%2CGnomon,gene,94907236,95296415,.,+,.,"ID=gene-PPP1R9A;Dbxref=GeneID:55607,HGNC:HGNC:14946,MIM:602468;Name=PPP1R9A;description=protein phosphatase 1 regulatory subunit 9A;gbkey=Gene;gene=PPP1R9A;gene_biotype=protein_coding;gene_synonym=Neurabin-I,NRB1,NRBI"
1836127,NC_000007.14,BestRefSeq,gene,95035692,95214332,.,-,.,"ID=gene-PPP1R9A-AS1;Dbxref=GeneID:105375405,HGNC:HGNC:40696;Name=PPP1R9A-AS1;description=PPP1R9A antisense RNA 1;gbkey=Gene;gene=PPP1R9A-AS1;gene_biotype=lncRNA"
1836147,NC_000007.14,cmsearch,gene,95276586,95276684,.,+,.,ID=gene-LOC124901848;Dbxref=GeneID:124901848;Name=LOC124901848;description=small nucleolar RNA U13;gbkey=Gene;gene=LOC124901848;gene_biotype=snoRNA
1836150,NC_000007.14,BestRefSeq,gene,95297676,95324532,.,-,.,"ID=gene-PON1;Dbxref=GeneID:5444,HGNC:HGNC:9204,MIM:168820;Name=PON1;description=paraoxonase 1;gbkey=Gene;gene=PON1;gene_biotype=protein_coding;gene_synonym=ESA,MVCD5,PON"
1836174,NC_000007.14,BestRefSeq,gene,95359872,95396375,.,-,.,"ID=gene-PON3;Dbxref=GeneID:5446,HGNC:HGNC:9206,MIM:602720;Name=PON3;description=paraoxonase 3;gbkey=Gene;gene=PON3;gene_biotype=protein_coding"
1836199,NC_000007.14,Gnomon,gene,95396472,95423688,.,+,.,ID=gene-LOC107986822;Dbxref=GeneID:107986822;Name=LOC107986822;description=uncharacterized LOC107986822;gbkey=Gene;gene=LOC107986822;gene_biotype=lncRNA
1836206,NC_000007.14,BestRefSeq%2CGnomon,gene,95404862,95435028,.,-,.,"ID=gene-PON2;Dbxref=GeneID:5445,HGNC:HGNC:9205,MIM:602447;Name=PON2;description=paraoxonase 2;gbkey=Gene;gene=PON2;gene_biotype=protein_coding"
1836284,NC_000007.14,BestRefSeq%2CGnomon,gene,95470656,95551317,.,+,.,"ID=gene-ASB4;Dbxref=GeneID:51666,HGNC:HGNC:16009,MIM:605761;Name=ASB4;description=ankyrin repeat and SOCS box containing 4;gbkey=Gene;gene=ASB4;gene_biotype=protein_coding;gene_synonym=ASB-4"
1836325,NC_000007.14,Gnomon,gene,95470812,95474002,.,+,.,ID=gene-LOC107986823;Dbxref=GeneID:107986823;Name=LOC107986823;description=uncharacterized LOC107986823;gbkey=Gene;gene=LOC107986823;gene_biotype=lncRNA
1836346,NC_000007.14,Gnomon,gene,95552967,95562445,.,+,.,ID=gene-LOC124901699;Dbxref=GeneID:124901699;Name=LOC124901699;description=uncharacterized LOC124901699;gbkey=Gene;gene=LOC124901699;gene_biotype=lncRNA
1836351,NC_000007.14,BestRefSeq,gene,95583499,95596516,.,-,.,"ID=gene-PDK4;Dbxref=GeneID:5166,HGNC:HGNC:8812,MIM:602527;Name=PDK4;description=pyruvate dehydrogenase kinase 4;gbkey=Gene;gene=PDK4;gene_biotype=protein_coding"
1836377,NC_000007.14,Gnomon,gene,95596679,95611117,.,+,.,"ID=gene-PDK4-AS1;Dbxref=GeneID:107986824,HGNC:HGNC:55767;Name=PDK4-AS1;description=PDK4 antisense RNA 1;gbkey=Gene;gene=PDK4-AS1;gene_biotype=lncRNA"
1836387,NC_000007.14,Gnomon,gene,95645859,95654617,.,+,.,ID=gene-LOC107986746;Dbxref=GeneID:107986746;Name=LOC107986746;description=uncharacterized LOC107986746;gbkey=Gene;gene=LOC107986746;gene_biotype=lncRNA
1836392,NC_000007.14,Gnomon,gene,95660317,95719901,.,+,.,ID=gene-LOC105375409;Dbxref=GeneID:105375409;Name=LOC105375409;description=uncharacterized LOC105375409;gbkey=Gene;gene=LOC105375409;gene_biotype=lncRNA
1836404,NC_000007.14,BestRefSeq,gene,95772554,96110322,.,+,.,"ID=gene-DYNC1I1;Dbxref=GeneID:1780,HGNC:HGNC:2963,MIM:603772;Name=DYNC1I1;description=dynein cytoplasmic 1 intermediate chain 1;gbkey=Gene;gene=DYNC1I1;gene_biotype=protein_coding;gene_synonym=DNCI1,DNCIC1"
1836588,NC_000007.14,Gnomon,gene,96014948,96033159,.,-,.,ID=gene-LOC124901700;Dbxref=GeneID:124901700;Name=LOC124901700;description=uncharacterized LOC124901700;gbkey=Gene;gene=LOC124901700;gene_biotype=lncRNA
1836593,NC_000007.14,Gnomon,gene,96049982,96058256,.,+,.,ID=gene-LOC124901701;Dbxref=GeneID:124901701;Name=LOC124901701;description=uncharacterized LOC124901701;gbkey=Gene;gene=LOC124901701;gene_biotype=lncRNA
1836605,NC_000007.14,BestRefSeq%2CGnomon,gene,96120220,96322098,.,-,.,"ID=gene-SLC25A13;Dbxref=GeneID:10165,HGNC:HGNC:10983,MIM:603859;Name=SLC25A13;description=solute carrier family 25 member 13;gbkey=Gene;gene=SLC25A13;gene_biotype=protein_coding;gene_synonym=ARALAR2,CITRIN,CTLN2,NICCD"
1836858,NC_000007.14,BestRefSeq,gene,96219662,96219756,.,-,.,"ID=gene-MIR591;Dbxref=GeneID:693176,HGNC:HGNC:32847,miRBase:MI0003603;Name=MIR591;description=microRNA 591;gbkey=Gene;gene=MIR591;gene_biotype=miRNA;gene_synonym=hsa-mir-591,MIRN591"
1836876,NC_000007.14,Gnomon,gene,96358502,96445087,.,+,.,ID=gene-LOC105375410;Dbxref=GeneID:105375410;Name=LOC105375410;description=uncharacterized LOC105375410;gbkey=Gene;gene=LOC105375410;gene_biotype=lncRNA
1836900,NC_000007.14,Gnomon,gene,96373108,96376434,.,+,.,ID=gene-LOC124901702;Dbxref=GeneID:124901702;Name=LOC124901702;description=uncharacterized LOC124901702;gbkey=Gene;gene=LOC124901702;gene_biotype=lncRNA
1836907,NC_000007.14,Gnomon,gene,96450122,96509218,.,+,.,ID=gene-LOC105375411;Dbxref=GeneID:105375411;Name=LOC105375411;description=uncharacterized LOC105375411;gbkey=Gene;gene=LOC105375411;gene_biotype=lncRNA
1836913,NC_000007.14,BestRefSeq%2CGnomon,gene,96481626,96709846,.,-,.,"ID=gene-SEM1;Dbxref=GeneID:7979,HGNC:HGNC:10845,MIM:601285;Name=SEM1;description=SEM1 26S proteasome subunit;gbkey=Gene;gene=SEM1;gene_biotype=protein_coding;gene_synonym=C7orf76,DSS1,ECD,PSMD15,SHFD1,Shfdg1,SHFM1,SHSF1"
1837049,NC_000007.14,Gnomon,gene,96509231,96531301,.,+,.,ID=gene-LOC105375412;Dbxref=GeneID:105375412;Name=LOC105375412;description=uncharacterized LOC105375412;gbkey=Gene;gene=LOC105375412;gene_biotype=lncRNA
1837056,NC_000007.14,Gnomon,gene,96564523,96588031,.,+,.,ID=gene-LOC107986825;Dbxref=GeneID:107986825;Name=LOC107986825;description=uncharacterized LOC107986825;gbkey=Gene;gene=LOC107986825;gene_biotype=lncRNA
1837080,NC_000007.14,Gnomon,gene,96787104,96804686,.,+,.,ID=gene-LOC105375414;Dbxref=GeneID:105375414;Name=LOC105375414;description=uncharacterized LOC105375414;gbkey=Gene;gene=LOC105375414;gene_biotype=lncRNA
1837099,NC_000007.14,Gnomon,gene,96945553,96958862,.,+,.,ID=gene-LOC124901703;Dbxref=GeneID:124901703;Name=LOC124901703;description=uncharacterized LOC124901703;gbkey=Gene;gene=LOC124901703;gene_biotype=lncRNA
1837104,NC_000007.14,BestRefSeq,gene,96968515,97014065,.,-,.,"ID=gene-DLX6-AS1;Dbxref=GeneID:285987,HGNC:HGNC:37151;Name=DLX6-AS1;description=DLX6 antisense RNA 1;gbkey=Gene;gene=DLX6-AS1;gene_biotype=lncRNA;gene_synonym=DLX6-AS,DLX6AS,Evf-2,NCRNA00212"
1837119,NC_000007.14,BestRefSeq,gene,97005553,97011040,.,+,.,"ID=gene-DLX6;Dbxref=GeneID:1750,HGNC:HGNC:2919,MIM:600030;Name=DLX6;description=distal-less homeobox 6;gbkey=Gene;gene=DLX6;gene_biotype=protein_coding"
1837129,NC_000007.14,BestRefSeq%2CGnomon,gene,97020396,97024831,.,-,.,"ID=gene-DLX5;Dbxref=GeneID:1749,HGNC:HGNC:2918,MIM:600028;Name=DLX5;description=distal-less homeobox 5;gbkey=Gene;gene=DLX5;gene_biotype=protein_coding;gene_synonym=SHFM1,SHFM1D"
1837161,NC_000007.14,BestRefSeq,gene,97117698,97181763,.,+,.,"ID=gene-SDHAF3;Dbxref=GeneID:57001,HGNC:HGNC:21752,MIM:615773;Name=SDHAF3;description=succinate dehydrogenase complex assembly factor 3;gbkey=Gene;gene=SDHAF3;gene_biotype=protein_coding;gene_synonym=ACN9,DC11,LYRM10,Sdh7"
1837172,NC_000007.14,Gnomon,gene,97136388,97157460,.,+,.,ID=gene-LOC107984034;Dbxref=GeneID:107984034;Name=LOC107984034;description=uncharacterized LOC107984034;gbkey=Gene;gene=LOC107984034;gene_biotype=lncRNA
1837177,NC_000007.14,Gnomon,gene,97177463,97272587,.,-,.,ID=gene-LOC124901704;Dbxref=GeneID:124901704;Name=LOC124901704;description=uncharacterized LOC124901704;gbkey=Gene;gene=LOC124901704;gene_biotype=lncRNA
1837186,NC_000007.14,Gnomon,gene,97284175,97289104,.,-,.,ID=gene-LOC107986826;Dbxref=GeneID:107986826;Name=LOC107986826;description=uncharacterized LOC107986826;gbkey=Gene;gene=LOC107986826;gene_biotype=lncRNA
1837191,NC_000007.14,Gnomon,gene,97328530,97565731,.,-,.,ID=gene-LOC105375416;Dbxref=GeneID:105375416;Name=LOC105375416;description=uncharacterized LOC105375416;gbkey=Gene;gene=LOC105375416;gene_biotype=lncRNA
1837210,NC_000007.14,BestRefSeq,gene,97732086,97740472,.,+,.,"ID=gene-TAC1;Dbxref=GeneID:6863,HGNC:HGNC:11517,MIM:162320;Name=TAC1;description=tachykinin precursor 1;gbkey=Gene;gene=TAC1;gene_biotype=protein_coding;gene_synonym=Hs.2563,NK2,NKNA,NPK,TAC2"
1837263,NC_000007.14,BestRefSeq,gene,97851677,97928441,.,-,.,"ID=gene-ASNS;Dbxref=GeneID:440,HGNC:HGNC:753,MIM:108370;Name=ASNS;description=asparagine synthetase (glutamine-hydrolyzing);gbkey=Gene;gene=ASNS;gene_biotype=protein_coding;gene_synonym=ASNSD,TS11"
1837435,NC_000007.14,BestRefSeq,gene,97852117,97972358,.,-,.,ID=gene-CZ1P-ASNS;Dbxref=GeneID:107986827;Name=CZ1P-ASNS;description=CZ1P-ASNS readthrough;gbkey=Gene;gene=CZ1P-ASNS;gene_biotype=lncRNA
1837472,NC_000007.14,BestRefSeq,gene,97963658,97963726,.,+,.,"ID=gene-MIR5692A1;Dbxref=GeneID:100847066,HGNC:HGNC:43533,miRBase:MI0019297;Name=MIR5692A1;description=microRNA 5692a-1;gbkey=Gene;gene=MIR5692A1;gene_biotype=miRNA"
1837477,NC_000007.14,BestRefSeq,gene,97964405,97964481,.,-,.,"ID=gene-MIR5692C2;Dbxref=GeneID:100847017,HGNC:HGNC:43448,miRBase:MI0019289;Name=MIR5692C2;description=microRNA 5692c-2;gbkey=Gene;gene=MIR5692C2;gene_biotype=miRNA"
1837496,NC_000007.14,BestRefSeq,gene,97984687,97990196,.,-,.,"ID=gene-OCM2;Dbxref=GeneID:4951,HGNC:HGNC:34396,MIM:620522;Name=OCM2;description=oncomodulin 2;gbkey=Gene;gene=OCM2;gene_biotype=protein_coding;gene_synonym=OCM,OM"
1837518,NC_000007.14,BestRefSeq%2CGnomon,gene,98106862,98209638,.,+,.,"ID=gene-LMTK2;Dbxref=GeneID:22853,HGNC:HGNC:17880,MIM:610989;Name=LMTK2;description=lemur tyrosine kinase 2;gbkey=Gene;gene=LMTK2;gene_biotype=protein_coding;gene_synonym=AATYK2,BREK,cprk,hBREK,KPI-2,KPI2,LMR2,PPP1R100"
1837595,NC_000007.14,BestRefSeq,gene,98211439,98215457,.,+,.,"ID=gene-BHLHA15;Dbxref=GeneID:168620,HGNC:HGNC:22265,MIM:608606;Name=BHLHA15;description=basic helix-loop-helix family member a15;gbkey=Gene;gene=BHLHA15;gene_biotype=protein_coding;gene_synonym=BHLHB8,MIST1"
1837600,NC_000007.14,BestRefSeq%2CGnomon,gene,98214624,98252232,.,-,.,"ID=gene-TECPR1;Dbxref=GeneID:25851,HGNC:HGNC:22214,MIM:614781;Name=TECPR1;description=tectonin beta-propeller repeat containing 1;gbkey=Gene;gene=TECPR1;gene_biotype=protein_coding"
1837831,NC_000007.14,Gnomon,gene,98252359,98256756,.,+,.,ID=gene-LOC124901706;Dbxref=GeneID:124901706;Name=LOC124901706;description=uncharacterized LOC124901706;gbkey=Gene;gene=LOC124901706;gene_biotype=lncRNA
1837838,NC_000007.14,Gnomon,gene,98267228,98270963,.,-,.,ID=gene-LOC124901705;Dbxref=GeneID:124901705;Name=LOC124901705;description=uncharacterized LOC124901705;gbkey=Gene;gene=LOC124901705;gene_biotype=lncRNA
1837849,NC_000007.14,BestRefSeq%2CGnomon,gene,98281686,98323430,.,+,.,"ID=gene-BRI3;Dbxref=GeneID:25798,HGNC:HGNC:1109,MIM:615628;Name=BRI3;description=brain protein I3;gbkey=Gene;gene=BRI3;gene_biotype=protein_coding;gene_synonym=I3"
1837953,NC_000007.14,BestRefSeq,gene,98291650,98401090,.,-,.,"ID=gene-BAIAP2L1;Dbxref=GeneID:55971,HGNC:HGNC:21649,MIM:611877;Name=BAIAP2L1;description=BAR/IMD domain containing adaptor protein 2 like 1;gbkey=Gene;gene=BAIAP2L1;gene_biotype=protein_coding;gene_synonym=IRTKS"
1838021,NC_000007.14,BestRefSeq,gene,98617285,98629869,.,+,.,"ID=gene-NPTX2;Dbxref=GeneID:4885,HGNC:HGNC:7953,MIM:600750;Name=NPTX2;description=neuronal pentraxin 2;gbkey=Gene;gene=NPTX2;gene_biotype=protein_coding;gene_synonym=NARP,NP-II,NP2"
1838041,NC_000007.14,Gnomon,gene,98652424,98657604,.,-,.,ID=gene-LOC105375419;Dbxref=GeneID:105375419;Name=LOC105375419;description=uncharacterized LOC105375419;gbkey=Gene;gene=LOC105375419;gene_biotype=lncRNA
1838055,NC_000007.14,Gnomon,gene,98668220,98671112,.,+,.,ID=gene-LOC105375418;Dbxref=GeneID:105375418;Name=LOC105375418;description=uncharacterized LOC105375418;gbkey=Gene;gene=LOC105375418;gene_biotype=lncRNA
1838078,NC_000007.14,BestRefSeq,gene,98846490,98870014,.,-,.,"ID=gene-TMEM130;Dbxref=GeneID:222865,HGNC:HGNC:25429;Name=TMEM130;description=transmembrane protein 130;gbkey=Gene;gene=TMEM130;gene_biotype=protein_coding"
1838140,NC_000007.14,BestRefSeq,gene,98878532,99013241,.,+,.,"ID=gene-TRRAP;Dbxref=GeneID:8295,HGNC:HGNC:12347,MIM:603015;Name=TRRAP;description=transformation/transcription domain associated protein;gbkey=Gene;gene=TRRAP;gene_biotype=protein_coding;gene_synonym=DEDDFA,DFNA75,PAF350/400,PAF400,STAF40,TR-AP,Tra1"
1838575,NC_000007.14,BestRefSeq,gene,98881650,98881729,.,+,.,"ID=gene-MIR3609;Dbxref=GeneID:100500819,HGNC:HGNC:38956,miRBase:MI0015999;Name=MIR3609;description=microRNA 3609;gbkey=Gene;gene=MIR3609;gene_biotype=miRNA;gene_synonym=mir-3609"
1838580,NC_000007.14,BestRefSeq,gene,98881697,98881890,.,+,.,"ID=gene-SCARNA28;Dbxref=GeneID:106633801,HGNC:HGNC:50388;Name=SCARNA28;description=small Cajal body-specific RNA 28;gbkey=Gene;gene=SCARNA28;gene_biotype=ncRNA;gene_synonym=ZL1"
1838583,NC_000007.14,cmsearch,gene,98884990,98885090,.,-,.,ID=gene-LOC124901832;Dbxref=GeneID:124901832;Name=LOC124901832;description=small nucleolar RNA U13;gbkey=Gene;gene=LOC124901832;gene_biotype=snoRNA
1838591,NC_000007.14,BestRefSeq,gene,99013165,99036492,.,+,.,ID=gene-LOC101927550;Dbxref=GeneID:101927550;Name=LOC101927550;description=uncharacterized LOC101927550;gbkey=Gene;gene=LOC101927550;gene_biotype=lncRNA
1838599,NC_000007.14,BestRefSeq%2CGnomon,gene,99027440,99144108,.,-,.,"ID=gene-SMURF1;Dbxref=GeneID:57154,HGNC:HGNC:16807,MIM:605568;Name=SMURF1;description=SMAD specific E3 ubiquitin protein ligase 1;gbkey=Gene;gene=SMURF1;gene_biotype=protein_coding"
1838874,NC_000007.14,BestRefSeq%2CGnomon,gene,99145804,99219419,.,-,.,"ID=gene-KPNA7;Dbxref=GeneID:402569,HGNC:HGNC:21839,MIM:614107;Name=KPNA7;description=karyopherin subunit alpha 7;gbkey=Gene;gene=KPNA7;gene_biotype=protein_coding;gene_synonym=IPOA8,OZEMA17"
1839106,NC_000007.14,BestRefSeq,gene,99238829,99311128,.,+,.,"ID=gene-MYH16;Dbxref=GeneID:84176,HGNC:HGNC:31038,MIM:608580;Name=MYH16;description=myosin heavy chain 16;gbkey=Gene;gene=MYH16;gene_biotype=protein_coding;gene_synonym=MHC20,MYH16P,MYH5"
1839198,NC_000007.14,Gnomon,gene,99278216,99325808,.,-,.,ID=gene-LOC105375421;Dbxref=GeneID:105375421;Name=LOC105375421;description=uncharacterized LOC105375421;gbkey=Gene;gene=LOC105375421;gene_biotype=lncRNA
1839225,NC_000007.14,BestRefSeq,gene,99325898,99366262,.,+,.,"ID=gene-ARPC1A;Dbxref=GeneID:10552,HGNC:HGNC:703,MIM:604220;Name=ARPC1A;description=actin related protein 2/3 complex subunit 1A;gbkey=Gene;gene=ARPC1A;gene_biotype=protein_coding;gene_synonym=Arc40,HEL-68,HEL-S-307,SOP2Hs,SOP2L"
1839282,NC_000007.14,BestRefSeq%2CGnomon,gene,99374259,99394816,.,+,.,"ID=gene-ARPC1B;Dbxref=GeneID:10095,HGNC:HGNC:704,MIM:604223;Name=ARPC1B;description=actin related protein 2/3 complex subunit 1B;gbkey=Gene;gene=ARPC1B;gene_biotype=protein_coding;gene_synonym=ARC41,IMD71,p40-ARC,p41-ARC,PLTEID"
1839331,NC_000007.14,BestRefSeq,gene,99394673,99408597,.,-,.,"ID=gene-PDAP1;Dbxref=GeneID:11333,HGNC:HGNC:14634,MIM:607075;Name=PDAP1;description=PDGFA associated protein 1;gbkey=Gene;gene=PDAP1;gene_biotype=protein_coding;gene_synonym=HASPP28,PAP,PAP1"
1839349,NC_000007.14,BestRefSeq%2CGnomon,gene,99408969,99419616,.,+,.,"ID=gene-BUD31;Dbxref=GeneID:8896,HGNC:HGNC:29629,MIM:603477;Name=BUD31;description=BUD31 homolog;gbkey=Gene;gene=BUD31;gene_biotype=protein_coding;gene_synonym=Cwc14,EDG-2,EDG2,fSAP17,G10,YCR063W"
1839452,NC_000007.14,BestRefSeq,gene,99409172,99409264,.,+,.,"ID=gene-MIR12119;Dbxref=GeneID:113219453,HGNC:HGNC:54027,miRBase:MI0039721;Name=MIR12119;description=microRNA 12119;gbkey=Gene;gene=MIR12119;gene_biotype=miRNA"
1839457,NC_000007.14,Gnomon,gene,99411945,99412295,.,+,.,ID=gene-LOC124901707;Dbxref=GeneID:124901707;Name=LOC124901707;description=uncharacterized LOC124901707;gbkey=Gene;gene=LOC124901707;gene_biotype=lncRNA
1839461,NC_000007.14,cmsearch,gene,99413978,99414078,.,-,.,ID=gene-LOC124901841;Dbxref=GeneID:124901841;Name=LOC124901841;description=small nucleolar RNA U13;gbkey=Gene;gene=LOC124901841;gene_biotype=snoRNA
1839466,NC_000007.14,BestRefSeq,gene,99416739,99466167,.,-,.,"ID=gene-ATP5MF-PTCD1;Dbxref=GeneID:100526740,HGNC:HGNC:38844;Name=ATP5MF-PTCD1;description=ATP5MF-PTCD1 readthrough;gbkey=Gene;gene=ATP5MF-PTCD1;gene_biotype=protein_coding;gene_synonym=ATP5J2-PTCD1"
1839486,NC_000007.14,BestRefSeq,gene,99416739,99438798,.,-,.,"ID=gene-PTCD1;Dbxref=GeneID:26024,HGNC:HGNC:22198,MIM:614774;Name=PTCD1;description=pentatricopeptide repeat domain 1;gbkey=Gene;gene=PTCD1;gene_biotype=protein_coding"
1839515,NC_000007.14,BestRefSeq%2CGnomon,gene,99438943,99457373,.,+,.,"ID=gene-CPSF4;Dbxref=GeneID:10898,HGNC:HGNC:2327,MIM:603052;Name=CPSF4;description=cleavage and polyadenylation specific factor 4;gbkey=Gene;gene=CPSF4;gene_biotype=protein_coding;gene_synonym=CPSF30,NAR,NEB-1,NEB1"
1839724,NC_000007.14,BestRefSeq,gene,99458195,99466167,.,-,.,"ID=gene-ATP5MF;Dbxref=GeneID:9551,HGNC:HGNC:848,MIM:619792;Name=ATP5MF;description=ATP synthase membrane subunit f;gbkey=Gene;gene=ATP5MF;gene_biotype=protein_coding;gene_synonym=ATP5J2,ATP5JL"
1839764,NC_000007.14,tRNAscan-SE,gene,99469684,99469755,.,+,.,"ID=gene-TRW-CCA5-1;Dbxref=GeneID:100189190,HGNC:HGNC:34753;Name=TRW-CCA5-1;description=tRNA-Trp (anticodon CCA) 5-1;gbkey=Gene;gene=TRW-CCA5-1;gene_biotype=tRNA"
1839771,NC_000007.14,BestRefSeq%2CGnomon,gene,99472890,99487605,.,+,.,"ID=gene-ZNF789;Dbxref=GeneID:285989,HGNC:HGNC:27801;Name=ZNF789;description=zinc finger protein 789;gbkey=Gene;gene=ZNF789;gene_biotype=protein_coding"
1839925,NC_000007.14,BestRefSeq,gene,99486519,99500281,.,-,.,"ID=gene-ZNF394;Dbxref=GeneID:84124,HGNC:HGNC:18832,MIM:619300;Name=ZNF394;description=zinc finger protein 394;gbkey=Gene;gene=ZNF394;gene_biotype=protein_coding;gene_synonym=ZKSCAN14,ZSCAN46"
1839951,NC_000007.14,BestRefSeq%2CGnomon,gene,99504662,99534700,.,+,.,"ID=gene-ZKSCAN5;Dbxref=GeneID:23660,HGNC:HGNC:12867,MIM:611272;Name=ZKSCAN5;description=zinc finger with KRAB and SCAN domains 5;gbkey=Gene;gene=ZKSCAN5;gene_biotype=protein_coding;gene_synonym=ZFP-95,ZFP95,ZNF914,ZSCAN37"
1840057,NC_000007.14,BestRefSeq%2CGnomon,gene,99546300,99558543,.,-,.,"ID=gene-FAM200A;Dbxref=GeneID:221786,HGNC:HGNC:25401;Name=FAM200A;description=family with sequence similarity 200 member A;gbkey=Gene;gene=FAM200A;gene_biotype=protein_coding;gene_synonym=C7orf38"
1840073,NC_000007.14,Gnomon,gene,99552165,99555957,.,+,.,ID=gene-LOC105375422;Dbxref=GeneID:105375422;Name=LOC105375422;description=uncharacterized LOC105375422;gbkey=Gene;gene=LOC105375422;gene_biotype=lncRNA
1840091,NC_000007.14,BestRefSeq%2CGnomon,gene,99558642,99576453,.,+,.,"ID=gene-ZNF655;Dbxref=GeneID:79027,HGNC:HGNC:30899,MIM:617891;Name=ZNF655;description=zinc finger protein 655;gbkey=Gene;gene=ZNF655;gene_biotype=protein_coding;gene_synonym=VIK,VIK-1"
